titles,released,developers,publishers,genres
Actua Pool,1999,Gremlin Interactive,Gremlin Interactive,Sport
Addiction Pinball,1998,Team17,Microprose,Pinball
Adrift,2015,Three One Zero,505 Games,Simulator
Advent Rising,2005,GlyphX Games,Majesco Entertainment,"Shooter, Adventure"
Adventure Pinball: Forgotten Island,2001,Digital Extremes,Electronic Arts,Pinball
The Adventures of Fatman,2003,Socko! Entertainment,Socko! Entertainment,"Adventure, Indie"
The Adventures of Lomax,1996,Psygnosis,Psygnosis,"Platform, Adventure"
Adventures of Pip,2015,TicToc Games,TicToc Games,"Role-playing (RPG), Adventure, Indie"
AdvertCity,2015,VoxelStorm,VoxelStorm,"Simulator, Strategy, Indie"
Afterlife,1996,LucasArts,LucasArts,"Music, Platform, Adventure, Indie"
Agatha Christie: And Then There Were None,2005,AWE Productions,The Adventure Company,Adventure
Agatha Christie: Evil Under the Sun,2007,AWE Productions,The Adventure Company,Adventure
Agatha Christie: Murder on the Orient Express,2006,AWE Productions,The Adventure Company,"Point-and-click, Adventure"
Age of Booty,2008,Certain Affinity,Capcom,Strategy
Age of Chivalry,2007,Team Chivalry,,"Simulator, Strategy"
Age of Conan: Hyborian Adventures,2008,Funcom,Funcom,"Role-playing (RPG), Adventure"
Age of Empires,1997,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
Age of Empires: The Rise of Rome,1998,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Simulator, Strategy"
Age of Empires II: The Age of Kings,1999,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
Age of Empires II: The Conquerors,2000,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
Age of Empires II: The Forgotten,2013,SkyBox Labs,Microsoft Game Studios,Strategy
Age of Empires II: The African Kingdoms,2015,SkyBox Labs,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
Age of Empires II: Rise of the Rajas,2016,SkyBox Labs,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
Age of Empires III,2005,Ensemble Studios,Microsoft Game Studios,Strategy
Age of Empires III: The Asian Dynasties,2007,Ensemble StudiosBig Huge Games,Microsoft Game Studios,"Point-and-click, Real Time Strategy (RTS), Strategy"
Age of Empires III: The WarChiefs,2006,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Simulator, Strategy"
Age of Mythology,2002,Ensemble Studios,Microsoft Game Studios,"Role-playing (RPG), Adventure"
Age of Pirates: Captain Blood,2009,THQ,"1C Company, MTV Games",Adventure
Age of Pirates: Caribbean Tales,2006,Akella,"1C Company, Playlogic Entertainment","Role-playing (RPG), Simulator"
Age of Pirates 2: City of Abandoned Ships,2009,Akella,Playlogic Entertainment,"Role-playing (RPG), Simulator"
Age of Sail,1996,TalonSoft,TalonSoft,"Role-playing (RPG), Strategy, Adventure"
Age of Sail II,2001,Akella,TalonSoft,"Simulator, Strategy"
Age of Wanderers,2003,Joymax,OSC,"Fighting, ""Hack and slash/Beat em up"""
Age of Wonders,1999,Triumph Studios,Gathering of Developers,Strategy
Age of Wonders: Planetfall,2019,Triumph Studios,Paradox Interactive,"Strategy, Turn-based strategy (TBS)"
Age of Wonders: Shadow Magic,2003,Triumph Studios,Gathering of Developers,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
Age of Wonders II: The Wizards Throne,2002,Triumph Studios,Take 2,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
Age of Wonders III,2014,Triumph Studios,Triumph Studios,"Strategy, Turn-based strategy (TBS)"
Ai Space,2008,Ai Space Production Committee,Ai Space Production Committee,"Simulator, Strategy, Indie"
Aion: The Tower of Eternity,2008,NCsoft,NCsoft,Role-playing (RPG)
Air Assault Task Force,2006,ProSIM Company,Shrapnel Games,"Simulator, Strategy"
Airfix Dogfighter,2000,Unique Development Studios,EON Digital Entertainment,Simulator
Airport Mania,2008,Reflexive Entertainment,Reflexive Entertainment,Strategy
Airport Tycoon,2000,Krisalis Software,TalonSoft and Global Star Software,Simulator
Airport Tycoon 2,2003,Sunstorm Interactive,Global Star Software,Simulator
Airport Tycoon 3,2003,InterActive Vision,Global Star Software,"Simulator, Strategy"
Akatsuki Blitzkampf,2007,Subtle Style,Subtle Style,Fighting
Al Emmo and the Lost Dutchmans Mine,2006,Himalaya Studios,Himalaya Studios,"Adventure, Indie"
Alan Wake,2012,"Remedy Entertainment, Nitro Games",Legacy Interactive,"Shooter, Adventure"
Alan Wakes American Nightmare,2012,"Remedy Entertainment, Nitro Games",Remedy Entertainment,"Shooter, Adventure"
Alchemy,2001,PopCap Games,PopCap Games,"Simulator, Indie"
Alexander,2004,GSC Game World,Ubisoft,"Music, Adventure"
Alfa Romeo Racing Italiano,2005,Milestone srl,Valcon Games,"Racing, Role-playing (RPG)"
Alias,2004,Acclaim Cheltenham,Acclaim Entertainment,Adventure
Alice: An Interactive Museum,1994,Toshiba-EMI Ltd,Synergy Interactive Crop.,"Point-and-click, Adventure, Visual Novel"
Alice VR,2016,Carbon Studio,Klabater,Indie
Alien Shooter: Vengeance,2007,Sigma Team,Sigma Team,Arcade
Alien Stars,2005,Awem,Awem,"Role-playing (RPG), Strategy"
Alien Swarm,2010,Valve,Valve,"Shooter, Adventure"
Aliens versus Predator,1999,Rebellion Developments,"Sierra Entertainment, Fox Interactive",Shooter
Aliens versus Predator 2,2001,Third Law Entertainment,Sierra Entertainment,Shooter
Aliens versus Predator Classic 2000,2010,Rebellion Developments,Rebellion Developments,Shooter
Aliens vs. Predator,2010,Rebellion Developments,Sega,Shooter
Aliens: Colonial Marines,2010,Gearbox Software,Sega,Shooter
Allegiance,2000,Microsoft Research,Microsoft,Adventure
Alliance of Valiant Arms,2007,Red Duck,"Neowiz, NHN USA",Shooter
Allied General,1995,Strategic Simulations,Strategic Simulations,Strategy
Alone in the Dark,2008,Eden Games,Atari,"Adventure, Indie"
Alone in the Dark: The New Nightmare,2001,Darkworks,Infogrames,"Puzzle, Adventure"
Alpha Prime,2007,Black Element Software,"Idea Games, Meridian4",Shooter
Alpha Protocol,2009,Obsidian Entertainment,Sega,"Shooter, Role-playing (RPG)"
Alvin and the Chipmunks,2007,Sensory Sweep Studios,Brash Entertainment,"Music, Adventure"
The Amazon Trail,1996,MECC,MECC,"Simulator, Adventure"
Amazon Trail 3rd Edition,1998,MECC,The Learning Company,"Simulator, Adventure"
Amber: Journeys Beyond,1996,Hue Forest Entertainment,Hue Forest Entertainment,"Point-and-click, Adventure"
American Conquest,2003,GSC Game World,CDV,"Real Time Strategy (RTS), Strategy"
American Idol,2003,Hothouse Creations,Codemasters,Music
American McGees Alice,2000,Rogue Entertainment,Electronic Arts,"Platform, ""Hack and slash/Beat em up"", Adventure"
American McGees Grimm,2008,Spicy Horse,Turner Broadcasting System,Indie
Amerzone,1999,Microids,Casterman,Adventure
Amnesia: A Machine for Pigs,2013,The Chinese Room,Frictional Games,"Puzzle, Adventure, Indie"
Amnesia: The Dark Descent,2010,Frictional Games,Frictional Games,"Puzzle, Adventure, Indie"
Amok,1996,Lemon,"Scavenger, Koei, Tec Toy","Shooter, Puzzle"
Anachronox,2001,Ion Storm,"Eidos Interactive, Infogrames",Role-playing (RPG)
Anacreon: Imperial Conquest in the Far Future,2004,Thinking Machine Associates,Thinking Machine Associates,Strategy
Anarchy Online,2001,Funcom,Funcom,"Adventure, Indie"
Ancient Wars: Sparta,2007,World Forge,Play Ten Interactive,"Real Time Strategy (RTS), Strategy"
And Yet It Moves,2009,Broken Rules,Broken Rules,"Platform, Puzzle, Indie"
Angelique,1994,Ruby Party,Koei,Strategy
Angelique Special,1995,Koei,NEC,"Simulator, Strategy, Adventure"
Angels Online,2006,UserJoy Technology,Q Entertainment,Role-playing (RPG)
Angry Birds 2,2019,Rovio Entertainment,Rovio Entertainment,Puzzle
Angry Birds Friends,2019,Rovio Entertainment,Rovio Entertainment,"Puzzle, Tactical, Arcade"
Angry Birds Rio,2011,Rovio Entertainment,Rovio Entertainment,"Platform, Puzzle, Arcade"
Angry Birds Seasons,2011,Rovio Entertainment,Rovio Entertainment,"Puzzle, Arcade"
Animamundi: Dark Alchemist,2004,Karin Entertainment,Hirameki International,"Adventure, Visual Novel"
Ankh,2005,Deck13 Interactive,BHV Software,"Puzzle, Adventure, Indie"
Ankh: Heart of Osiris,2006,Deck13 Interactive,BHV Software,"Point-and-click, Adventure"
Anno 1404,2009,Related Designs,Ubisoft,"Real Time Strategy (RTS), Simulator, Strategy"
Anno 1503,2003,Max Design,Sunflowers,"Simulator, Strategy"
Anno 1602,1998,Max Design,Sunflowers,"Simulator, Strategy"
Anno 1701,2006,Related Designs,Sunflowers,"Real Time Strategy (RTS), Simulator, Strategy"
Anno 2070,2011,Related Designs,Ubisoft,"Real Time Strategy (RTS), Simulator, Strategy"
Anodyne,2013,Analgesic Productions,Analgesic Productions,"Platform, Role-playing (RPG), Adventure, Indie"
Anomaly: Warzone Earth,2011,11 Bit Studios,11 Bit Studios,"Real Time Strategy (RTS), Strategy"
The Ant Bully,2006,Artificial Mind and Movement,Midway Games,Adventure
Ant War,2003,Anarchy Enterprises,Anarchy Enterprises,Strategy
Antinomy of Common Flowers,2017,"Twilight Frontier, Team Shanghai Alice","Twilight Frontier, Team Shanghai Alice","Fighting, Indie"
Anubis II,2005,Data Design Interactive,"Metro 3D, Conspiracy Entertainment",Platform
APB: All Points Bulletin,2010,Realtime Worlds,EA Games,"Shooter, Racing"
Apex Legends,2019,Respawn Entertainment,Electronic Arts,Shooter
Apprentice,2003,Herculean Effort Productions,Herculean Effort Productions,"Strategy, Adventure, Indie"
AquaNox,1996,Massive Development,"Encore Software, JoWooD Productions","Shooter, Role-playing (RPG), Simulator, Adventure"
AquaNox 2: Revelation,2003,Massive Development,"Encore Software, JoWooD Productions","Shooter, Simulator"
Aqua Moto Racing Utopia,2016,Zordix,Zordix,"Racing, Simulator, Sport, Indie, Arcade"
Aquaria,2007,Bit Blot,Bit Blot,"Platform, Adventure, Indie"
Arcanum: Of Steamworks and Magick Obscura,2001,Troika Games,Sierra Entertainment,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
ArchLord,2005,NHN Games,"Codemasters Online Gaming, Webzen",Role-playing (RPG)
Arcomage,1999,New World Computing,3DO,Strategy
Area 51,1995,Mesa Logic,Midway,"Simulator, Strategy, Adventure, Indie"
Area 51,2005,Midway Austin,Midway,"Simulator, Strategy, Adventure, Indie"
Arkadian Warriors,2007,Wanako Games,Sierra Online,Role-playing (RPG)
ARMA: Armed Assault,2006,Bohemia Interactive Studio,505 Games,"Shooter, Simulator"
ARMA 2,2009,Bohemia Interactive Studio,505 Games,"Shooter, Simulator"
Armadillo Run,2006,Peter Stock,,Puzzle
Armageddon Empires,2007,Cryptic Comet,Cryptic Comet,Role-playing (RPG)
Armed and Dangerous,2003,Planet Moon Studios,"LucasArts,",Shooter
Armies of Exigo,2004,Black Hole Entertainment,Electronic Arts,"Real Time Strategy (RTS), Strategy"
Army Men: Air Tactics,2000,3DO,3DO,Strategy
Army Men: RTS,2002,Pandemic Studios,3DO,"Real Time Strategy (RTS), Strategy"
Army Men: Sarges Heroes,1999,3DO,3DO,Shooter
Army Men: Sarges War,2004,Global Star Software,Global Star Software,Shooter
Arthur and the Invisibles,2007,Etranges Libellules,Atari,Platform
Arthurs Knights,2001,Dreamcatcher Interactive,"Cryo Interactive, DreamCatcher Interactive","Role-playing (RPG), Adventure"
Arthurs Knights II: The Secret of Merlin,2001,Cryo Interactive,Wanadoo Edition,Adventure
Arx Fatalis,2002,Arkane Studios,JoWooD,"Role-playing (RPG), Adventure"
Asda Story,2008,MaxOn Soft Corp,gamescampus.com,Role-playing (RPG)
Asherons Call,1999,Turbine Entertainment Software,"Microsoft, Turbine Entertainment Software",Role-playing (RPG)
Asherons Call 2: Fallen Kings,2002,Turbine Entertainment Software,Turbine Entertainment Software,Role-playing (RPG)
Ashes Cricket 2009,2009,Transmission Games,"Codemasters, Atari",Sport
Assassins Creed,2008,Ubisoft Montreal,Ubisoft,"Strategy, Adventure"
Assassins Creed II,2009,Ubisoft Montreal,Ubisoft,Adventure
Assassins Creed III,2012,Ubisoft Montreal,Ubisoft,Adventure
Assassins Creed IV: Black Flag,2013,Ubisoft Montreal,Ubisoft,Adventure
Assassins Creed: Brotherhood,2010,Ubisoft Montreal,Ubisoft,Adventure
Assassins Creed Odyssey,2018,Ubisoft Quebec,Ubisoft,Adventure
Assassins Creed Origins,2017,Ubisoft Montreal,Ubisoft,"Role-playing (RPG), Adventure"
Assassins Creed: Revelations,2011,Ubisoft Montreal,Ubisoft,Adventure
Assassins Creed Syndicate,2016,Ubisoft Quebec,Ubisoft,Adventure
Assassins Creed Valhalla,2020,Ubisoft Quebec,Ubisoft,"Role-playing (RPG), Adventure"
Assault Heroes,2006,Wanako Games,Sierra Online,Shooter
AssaultCube,2006,Rabid Viper Productions,,Shooter
Asterix & Obelix,1996,Infogrames,Infogrames,"Fighting, ""Hack and slash/Beat em up"", Arcade"
Asterix & Obelix XXL,2004,Etranges Libellules,Atari,"Platform, Adventure"
Asterix & Obelix XXL 2: Mission: Las Vegum,2005,Etranges Libellules,Atari,Platform
Asterix at the Olympic Games,2008,Etranges Libellules,Atari,"Platform, Sport, Adventure"
Asteroids,1998,Activision,Activision,"Shooter, Indie, Arcade"
Astonishia Story,2002,Sonnori,"Sonnori, Ubisoft","Role-playing (RPG), Strategy"
Astral Tournament,2001,Apus Software,Apus Software,"Strategy, Turn-based strategy (TBS)"
AstroPop,2004,PopCap Games,PopCap Games,Puzzle
Atari Anniversary Edition,2001,Digital Eclipse,Infogrames,"Platform, Quiz/Trivia, Arcade"
Atari Anthology,2004,Digital Eclipse,Atari,"Racing, Simulator, Sport, Strategy"
Athens 2004,2004,Eurocom,"Sony Computer Entertainment, Eidos Interactive",Sport
Atlantica Online,2008,NDOORS Interactive,NDOORS Interactive,"Role-playing (RPG), Strategy, Adventure"
Atlantis Evolution,2004,Atlantis Interactive Entertainment,The Adventure Company,"Point-and-click, Adventure"
Atlantis II,1999,Cryo Interactive,Dreamcatcher Interactive,"Point-and-click, Platform, Strategy, Adventure"
Atlantis III: The New World,2001,Cryo Interactive,Dreamcatcher Interactive,"Point-and-click, Platform, Strategy, Adventure"
Atlantis Sky Patrol,2006,Big Fish Studios,Big Fish Games,"Puzzle, Indie"
Atlantis The Lost Empire: Search for the Journal,2001,Zombie Inc.,Disney Interactive,Adventure
Atlantis The Lost Empire: Trial by Fire,2001,Zombie Inc.,Disney Interactive,Adventure
Atlantis Underwater Tycoon,2003,Activision Value,Activision Value,"Simulator, Strategy"
Atlantis: The Lost Tales,1997,Cryo Interactive,Dreamcatcher Interactive,"Puzzle, Adventure"
Atomic Bomberman,1997,Interplay Entertainment,Interplay Entertainment,"Puzzle, Arcade"
Attack on Pearl Harbor,2007,Legendo Entertainment,Legendo Entertainment,"Shooter, Simulator, Tactical"
Attack on Titan,2016,Omega Force,Koei Tecmo,Tactical
Attack on Titan 2,2018,Omega Force,Koei Tecmo,"Shooter, Role-playing (RPG)"
Audiosurf,2008,Dylan Fitterer,"Audiosurf, LLC","Music, Puzzle, Indie"
Auditorium,2012,Cipher Prime,Cipher Prime,"Music, Puzzle, Arcade"
Austin Powers Pinball,2002,Wildfire Studios,Gotham Games,Pinball
Australian Rules Football,2010,Big Ant Studios,Tru Blu Entertainment,Sport
Auto Assault,2006,NetDevil,NCsoft,Role-playing (RPG)
Avadon: The Black Fortress,2011,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Adventure, Indie"
Avadon 2: The Corruption,2013,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
Avatar: The Last Airbender,2006,"THQ, TOSE",THQ,"""Hack and slash/Beat em up"", Arcade"
Avencast: Rise of the Mage,2007,ClockStone,Lighthouse Interactive,"Role-playing (RPG), Adventure, Indie"
Avernum,2000,Spiderweb Software,Spiderweb Software,Adventure
Avernum: Escape from the Pit,2011,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
Avernum 2,2000,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Adventure, Indie"
Avernum 2: Crystal Souls,2015,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Adventure, Indie"
Avernum 3,2002,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure, Indie"
Avernum 4,2005,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Indie"
Avernum 5,2007,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Indie"
Avernum 6,2009,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Indie"
Axiom Verge,2015,Thomas Happ Games,Thomas Happ Games,"Shooter, Platform, Adventure, Indie"
Axis & Allies,1998,Hasbro Interactive,Hasbro Interactive,Strategy
Axis & Allies,2004,TimeGate Studios,Atari,Strategy
Ayakashi Ninden Kunoichiban,1997,Shoeisha,Shoeisha,Simulator
Azada,2007,Big Fish Studios,Big Fish Games,Adventure
Azada: Ancient Magic,2008,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
Aztaka,2009,Citeremis,Citeremis,"Platform, Role-playing (RPG), Indie"
Azur Lane: Crosswave,2019,Felistella,"Compile Heart, Idea Factory International","Arcade, Visual Novel"
B-17 Flying Fortress: The Mighty 8th,2000,Wayward Design,MicroProse/Hasbro Interactive,Simulator
Babysitting Mania,2008,iWin,"iWin, Majesco Entertainment",Simulator
Babyz,1999,Andrew Stern,Mindscape,Simulator
Back Track,1998,Telegames,Telegames,Racing
Backyard Baseball 2007,2006,Humongous Entertainment,Atari,Sport
Backyard Basketball 2007,2006,Atari,Atari,Sport
Backyard Football 08,2007,Humongous Entertainment,Atari,Sport
Backyard Football 09,2008,Humongous Entertainment,Atari,Sport
Backyard Soccer MLS Edition,2001,Humongous Entertainment,Atari Europe S.A.S.U.,Sport
Bad Boys: Miami Takedown,2004,Blitz Games,Empire Interactive,"Shooter, Adventure"
Bad Day L.A.,2006,Enlight,Enlight,Adventure
Bad Mojo,1996,Pulse Entertainment,"Acclaim Entertainment, Inc.",Platform
Baku Baku Animal,1995,Sega,Sega,Puzzle
Baldr Force,2002,GIGA Team Baldrhead,GIGA Co.,"""Hack and slash/Beat em up"", Visual Novel"
Baldurs Gate,1998,BioWare,Black Isle Studios/Interplay Entertainment,"Role-playing (RPG), Adventure"
Baldurs Gate II: Shadows of Amn,2000,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing (RPG)
Baldurs Gate II: Throne of Bhaal,2001,BioWare,Interplay Entertainment,"Role-playing (RPG), Strategy"
Baldurs Gate: Tales of the Sword Coast,1999,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing (RPG)
Ballance,2004,Cyparade,Atari,"Platform, Puzzle"
Ballistics,2001,Grin,Xicat Interactive,"Shooter, Indie"
Band of Bugs,2007,NinjaBee,Microsoft Game Studios,Strategy
Bandits: Phoenix Rising,2002,Grin,Pan Vision,"Shooter, Racing"
Bang! Gunship Elite,2000,RayLand,Red Storm Entertainment,"Simulator, Indie"
Bang! Howdy,2006,Three Rings Design,Three Rings Design,"Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS)"
The Banner Saga,2014,Stoic Studio,Versus Evil,"Role-playing (RPG), Strategy"
The Banner Saga 2,2016,Stoic Studio,Versus Evil,"Role-playing (RPG), Strategy, Tactical, Adventure, Indie"
The Banner Saga 3,2018,Stoic Studio,Versus Evil,"Role-playing (RPG), Strategy"
Barbie as the Island Princess,2007,Ivolgamus,Activision,"Platform, Adventure"
Barbie Fashion Show: An Eye for Style,2008,Treyarch,Activision,Simulator
Barbie Horse Adventures: Riding Camp,2008,Pixel Tales,Activision,Adventure
Barbie Riding Club,1998,Human Code,Mattel Media,"Simulator, Sport"
Barbie Super Sports,1999,Runecraft,Mattel Media,Sport
The Bards Tale,2004,InXile Entertainment,Vivendi Universal Games,"Role-playing (RPG), Sport"
Barnyard,2006,Blue Tongue Entertainment,THQ,Shooter
Barrow Hill: Curse of the Ancient Circle,2006,Shadow Tor Studios,Shadow Tor Studios,"Point-and-click, Adventure, Indie"
The Basement Collection,2012,Edmund McMillen and Tyler Glaiel,Headup Games,"Platform, Strategy, Adventure, Indie"
Bastion,2011,Supergiant Games,Warner Bros. Interactive Entertainment,"Shooter, Tactical"
Batman: Arkham Asylum,2009,Rocksteady Studios,,"""Hack and slash/Beat em up"", Adventure"
Battle Arena Toshinden 2,1995,"Tamsoft, Shintarou Nakaoka","Takara, Toshiaki Ota",Fighting
Battle Beast,1995,7th Level,BMG Interactive,Fighting
Battle Engine Aquila,2003,Lost Toys,Atari,"Shooter, Simulator"
Battle of Britain II: Wings of Victory,2005,A2A Simulations,"TRI Synergy, GMX Media",Simulator
Battle Isle: The Andosia War,2000,Cauldron Ltd.,Blue Byte,Strategy
Battle Raper,2002,Dreams,Illusion,Fighting
Battle Raper 2,2005,Illusion,Illusion,Fighting
Battle Realms,2001,Liquid Entertainment,Ubisoft,"Real Time Strategy (RTS), Strategy"
Battle Realms: Winter of the Wolf,2002,Liquid Entertainment/Crave,Ubisoft,"Real Time Strategy (RTS), Strategy"
Battlefield 1942,2002,Digital Illusions CE,EA Games,"Shooter, Simulator"
Battlefield 1942: Secret Weapons of WWII,2003,Digital Illusions CE,EA Games,"Shooter, Simulator"
Battlefield 1942: The Road to Rome,2003,Digital Illusions CE,EA Games,"Shooter, Simulator"
Battlefield 1943,2009,EA Digital Illusions CE,Electronic Arts,Shooter
Battlefield 2,2005,Digital Illusions CE,EA Games,Shooter
Battlefield 3,2011,Digital Illusions CE,EA Games,Shooter
Battlefield 4,2013,EA DICE,Electronic Arts,Shooter
Battlefield 2142,2006,Digital Illusions CE,Electronic Arts,Shooter
Battlefield Heroes,2009,EA Digital Illusions CE,Electronic Arts,Shooter
Battlefield Online,2009,"Neowiz Games, Electronic Arts, EA Digital Illusions CE",Electronic Arts,Shooter
Battlefield V,2018,EA DICE,Electronic Arts,Shooter
Battlefield Vietnam,2004,Digital Illusions,Electronic Arts,"Shooter, Simulator, Strategy, Adventure"
Battlefield: Bad Company 2,2010,EA Digital Illusions CE,Electronic Arts,Shooter
BattleForge,2009,EA Phenomic,Electronic Arts,"Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS)"
Battleground 2: Gettysburg,1995,TalonSoft,TalonSoft,Strategy
Battleground 3: Waterloo,1996,TalonSoft,TalonSoft,"Strategy, Turn-based strategy (TBS)"
Battleground 4: Shiloh,1996,TalonSoft,TalonSoft,"Real Time Strategy (RTS), Strategy"
Battleground 5: Antietam,1996,TalonSoft,TalonSoft,"Real Time Strategy (RTS), Strategy"
Battleground 6: Napoleon in Russia,1997,TalonSoft,TalonSoft,Strategy
Battleground 7: Bull Run,1997,TalonSoft,TalonSoft,Strategy
Battleground 8: Prelude to Waterloo,1997,TalonSoft,TalonSoft,Strategy
Battleground 9: Chickamauga,1998,TalonSoft,TalonSoft,Strategy
Battlestations: Midway,2007,Eidos Interactive,Eidos Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
Battlestations: Pacific,2009,Eidos Hungary,Eidos Interactive,"Real Time Strategy (RTS), Simulator, Strategy, Tactical"
Battlezone,1998,Activision,Activision,"Real Time Strategy (RTS), Strategy"
Battlezone II: Combat Commander,1999,Pandemic Studios,Activision,"Shooter, Strategy"
Beach Head 2000,2000,Digital Fusion,"WizardWorks, Infogrames","Shooter, Simulator"
Beach Life,2002,Deep Red Games,Eidos Interactive,Shooter
Beam Breakers,2002,Similis,JoWooD Productions Software,Racing
Beast Wars: Transformers,1997,Hasbro Interactive,Hasbro Interactive,Fighting
The Beast Within: A Gabriel Knight Mystery,1995,Sierra On-Line,Sierra On-Line,"Point-and-click, Adventure"
Beasts and Bumpkins,1997,Worldweaver Productions,Electronic Arts,Strategy
Beavis and Butt-head in Virtual Stupidity,1995,Viacom New Media,Viacom New Media,Adventure
Beijing 2008,2008,Eurocom,Sega,Sport
Bejeweled,2001,PopCap Games,PopCap Games,Puzzle
Bejeweled Twist,2008,PopCap Games,PopCap Games,"Puzzle, Strategy"
Bendy and the Ink Machine,2017,TheMeatly Games,TheMeatly Games,Indie
Beowulf: The Game,2007,Ubisoft,Ubisoft,"""Hack and slash/Beat em up"", Adventure"
Bermuda Syndrome,1995,Century Interactive,BMG Interactive,"Platform, Adventure"
Bet On Soldier: Blood Sport,2005,Kylotonn,Digital Jesters,Shooter
